antecedents,consequents,support,confidence,lift
"['author_trust_score_Med', 'file_count_High', 'Is_CI', 'author_success_rate_Low', 'code_line_ratio_Low']","['msg_readability_ease_Low', 'change_entropy_High', 'Is_BugFix', 'config_line_ratio_Med', 'Verdict_Rejected']",0.02104032729398013,0.9473684210526316,37.69645042839658
"['msg_readability_ease_Low', 'change_entropy_High', 'Is_BugFix', 'config_line_ratio_Med', 'Verdict_Rejected']","['author_trust_score_Med', 'file_count_High', 'Is_CI', 'author_success_rate_Low', 'code_line_ratio_Low']",0.02104032729398013,0.8372093023255814,37.696450428396574
"['msg_readability_ease_Low', 'author_trust_score_Med', 'file_count_High', 'author_success_rate_Low', 'code_line_ratio_Low']","['change_entropy_High', 'Is_BugFix', 'config_line_ratio_Med', 'Verdict_Rejected', 'Is_CI']",0.02104032729398013,0.9350649350649352,37.644614209320096
"['change_entropy_High', 'Is_BugFix', 'config_line_ratio_Med', 'Verdict_Rejected', 'Is_CI']","['msg_readability_ease_Low', 'author_trust_score_Med', 'file_count_High', 'author_success_rate_Low', 'code_line_ratio_Low']",0.02104032729398013,0.8470588235294119,37.644614209320096
"['author_trust_score_Med', 'file_count_High', 'Is_CI', 'author_success_rate_Low', 'code_line_ratio_Low']","['msg_readability_ease_Low', 'change_entropy_High', 'Is_BugFix', 'Verdict_Rejected']",0.02104032729398013,0.9473684210526316,37.26315789473684
"['author_trust_score_Med', 'file_count_High', 'config_line_ratio_Med', 'Is_CI', 'author_success_rate_Low', 'code_line_ratio_Low']","['msg_readability_ease_Low', 'change_entropy_High', 'Is_BugFix', 'Verdict_Rejected']",0.02104032729398013,0.9473684210526316,37.26315789473684
"['file_count_High', 'config_line_ratio_Med', 'Is_BugFix', 'Verdict_Rejected', 'Is_CI']","['msg_readability_ease_Low', 'author_trust_score_Med', 'change_entropy_High', 'author_success_rate_Low', 'code_line_ratio_Low']",0.02104032729398013,0.9473684210526316,37.26315789473684
"['msg_readability_ease_Low', 'change_entropy_High', 'Is_BugFix', 'Verdict_Rejected']","['author_trust_score_Med', 'file_count_High', 'Is_CI', 'author_success_rate_Low', 'code_line_ratio_Low']",0.02104032729398013,0.8275862068965517,37.26315789473684
"['msg_readability_ease_Low', 'author_trust_score_Med', 'change_entropy_High', 'author_success_rate_Low', 'code_line_ratio_Low']","['file_count_High', 'config_line_ratio_Med', 'Is_BugFix', 'Verdict_Rejected', 'Is_CI']",0.02104032729398013,0.8275862068965517,37.26315789473684
"['msg_readability_ease_Low', 'change_entropy_High', 'Is_BugFix', 'Verdict_Rejected']","['author_trust_score_Med', 'file_count_High', 'config_line_ratio_Med', 'Is_CI', 'author_success_rate_Low', 'code_line_ratio_Low']",0.02104032729398013,0.8275862068965517,37.26315789473684
